"Keep your eyes open for our special Back to School items and save A LOT!","Achten Sie auf unsere speziellen Zurück in die Schule Produkte und SPAREN Sie!"
"Our customer service is available 24/7. Call us at (800) DEMO-NUMBER.","Unser Kunden-Service ist - rund um die Uhr - an 7 Tagen erreichbar. Rufen Sie uns an unter: (800) DEMO-NUMMER"
"Thank You,","Danke,"
"Shipping Amount","Versandkosten"
"Thank you very much!","Vielen Dank!"
"Your new password is: %s","Ihr neues Password lautet: %s"
"Tax Amount","Steuerbetrag"
"Grand Total","Gesamtsumme"
"Magento Products Office","Magento Products Office"
"Discount","Rabatt"
"You can change your password at any time by logging into the ""My Account"" section.","Sie können Ihr Passwort jederzeit im Bereich ""Mein Benutzerkonto"" ändern."
"New Password for %s","Neues Passwort f&uuml;r %s"
"Subtotal","Zwischensumme"
"Dear %s","Sehr geehrte(r) %s"
"My Account","Mein Benutzerkonto"
"Log In","Anmelden"
"Grid","Gitter"
"List","Liste"
"Please enter your email below and we'll send you a new password.","Bitte tragen Sie hier Ihre E-Mail Adresse ein. <br />Wir senden Ihnen dann umgehend ein neues Passwort zu."
"Recurring Profiles","Wiederkehrende Profile"
"There are no recurring profiles yet.","Es liegen noch keine wiederkehrenden Profile vor."
"Login", "Einloggen"
"Cart","Warenkorb" 
"Customer Service", "Kundenservice"
"About us", "Über uns"
"Showroom", "Showroom"
"Contact", "Kontakt"
"Customer-service hotline", "Kundendienst Hotline"
"Repair-service","Werkstattservice" 
"Guarantee and warranty","Garantie & Gewährleistung " 
"Delivery- and shipping-costs","Liefer- und Versandkosten"
"Payment- and shipping-types","Zahl- und Versandarten"
"Customer-protection","Käuferschutz"
"Financing","Finanzierung"
"Right of withdrawal","Widerrufsrecht"
"Privacy and data protection","Privatsphäre und Datenschutz"
"Terms","AGB"
"Imprint","Impressum"
"Special Price: %s","Unser Preis: %s"
"Special Price:","Unser Preis:"
"I want to subscribe to the newsletter","Ich möchte den Newsletter abonnieren (Abmeldung jederzeit möglich)."
"Please confirm to subscribe","Bitte bestätigen Sie, dass Sie den Newsletter abonnieren möchten."
"right of rescission notice","Sie haben ein 14tägiges Widerrufsrecht. Hier finden Sie die <a href='%s'>Einzelheiten zu Ihrem Widerrufsrecht.</a>"
"terms notice","Es gelten unsere <a href='%s' target='blank'>Allgemeinen Geschäftsbedingungen</a>."
"Show", "Anzeigen"
"Buy", "Kaufen"
"Place Order", "Kaufen"
