"Keep your eyes open for our special Back to School items and save A LOT!","Achten Sie auf unsere speziellen Zurück in die Schule Produkte und SPAREN Sie!"
"Our customer service is available 24/7. Call us at (800) DEMO-NUMBER.","Unser Kunden-Service ist - rund um die Uhr - an 7 Tagen erreichbar. Rufen Sie uns an unter: (800) DEMO-NUMMER"
"Thank You,","Danke,"
"Shipping Amount","Versandkosten"
"Thank you very much!","Vielen Dank!"
"Your new password is: %s","Ihr neues Password lautet: %s"
"Tax Amount","Steuerbetrag"
"Grand Total","Gesamtsumme"
"Magento Products Office","Magento Products Office"
"Discount","Rabatt"
"You can change your password at any time by logging into the ""My Account"" section.","Sie können Ihr Passwort jederzeit im Bereich ""Mein Benutzerkonto"" ändern."
"New Password for %s","Neues Passwort f&uuml;r %s"
"Subtotal","Zwischensumme"
"Dear %s","Sehr geehrte(r) %s"
"My Account","Mein Benutzerkonto"
"Log In","Anmelden"
"Grid","Gitter"
"List","Liste"
"Please enter your email below and we'll send you a new password.","Bitte tragen Sie hier Ihre E-Mail Adresse ein. <br />Wir senden Ihnen dann umgehend ein neues Passwort zu."
"Recurring Profiles","Wiederkehrende Profile"
"There are no recurring profiles yet.","Es liegen noch keine wiederkehrenden Profile vor."
"Login", "Einloggen"
"Cart","Warenkorb" 
"Customer Service", "Kundenservice"
"About us", "Über uns"
"Showroom", "Showroom"
"Contact", "Kontakt"
"Customer-service hotline", "Kundendienst Hotline"
"Repair-service","Werkstattservice" 
"Guarantee and warranty","Garantie & Gewährleistung " 
"Delivery- and shipping-costs","Liefer- und Versandkosten"
"Payment- and shipping-types","Zahl- und Versandarten"
"Buyer protection","Käuferschutz"
"Certificate of quality","G&uuml;tesiegel"
"Financing","Finanzierung"
"Right of withdrawal","Widerrufsrecht"
"Privacy and data protection","Privatsphäre und Datenschutz"
"Terms","AGB"
"Imprint","Impressum"
"Special Price: %s","Unser Preis: %s"
"Special Price:","Unser Preis:"
"I want to subscribe to the newsletter","Ich möchte den Newsletter abonnieren (Abmeldung jederzeit möglich)."
"Please confirm to subscribe","Bitte bestätigen Sie, dass Sie den Newsletter abonnieren möchten."
"right of rescission notice","Sie haben ein 14tägiges Widerrufsrecht. Hier finden Sie die <a href='%s'>Einzelheiten zu Ihrem Widerrufsrecht.</a>"
"terms notice","Es gelten unsere <a href='%s' target='blank'>Allgemeinen Geschäftsbedingungen</a>."
"Show", "Anzeigen"
"Search entire store here...","Produkt suchen..."
"Catalog Advanced Search","Erweiterte Suche"
"Delivery period:","Lieferzeit:"
"Click on the seal to check validity!","Klicken Sie auf das G&uuml;tesiegel, um die G&uuml;ltigkeit zu pr&uuml;fen!"
"is a certified online shop with Trusted Shops Certificate","ist ein von Trusted Shops geprüfter Online Händler mit Zertifikat"
"more...","Mehr..."
"Details for diecrema.de","Mehr Informationen zu DieCrema.de"
"diecrema.de","DieCrema.de"
"All Rights Reserved.","Alle Rechte vorbehalten."
"All prices include VAT and exclude","Alle Preise inkl. MwSt und zzgl."
"All prices include VAT","Alle Preise inkl. MwSt"
"Productinfo","Produkt-Info"
"Specifications","Technische Daten"
"Related Products","&Auml;hnliche Produkte"
"Instructions","Anleitungen"
"News","Neuigkeiten"
"In our DieCrema online store, you will find everything about portafilter espresso machines, coffee grinders and espresso beans. We deal with the issue for several years espresso and strive only for quality goods. DieCrema stands for quality and enjoyment. Espresso should taste, but this is only possible with the correct filter holder espresso machine, a good grinder and the right coffee. Ask. Imagine that you are sitting on a summer day in Italy, at an outdoor café and an espresso A pleasurable moment. We want to give you this moment. With our original espresso varieties, for example Hausbrandt, along with a Bezzera espresso machine and a Mazzer coffee grinder, we bring you the feel of a real Italian cafes directly home.","In unserem DieCrema Online-Shop finden Sie alles rund um das Thema Siebträger Espressomaschinen, Kaffeemühlen und Espressobohnen. Wir beschäftigen uns seit einigen Jahren mit dem Thema Espresso und bemühen uns ausschließlich um Qualitätsware. DieCrema steht für Qualität und Genuss. Espresso soll schmecken, jedoch gelingt dies nur mit der richtigen Siebträger-Espressomaschine, einer guten Mühle und dem richtigen Kaffee. Stellen Sie sich vor, Sie sitzen an einem sommerlichen Tag in Italien, in einem Straßencafé und trinken einen Espresso. Ein genussvoller Moment. Wir wollen Ihnen diesen Moment ermöglichen. Mit unseren originalen Espresso-Sorten, beispielsweise von Hausbrandt, zusammen mit einer Bezzera Espressomaschine und einer Mazzer Kaffeemühle bringen wir Ihnen das Flair eines echten Italienischen Cafés direkt nach Hause."
