"Term: %s","Laufzeit: %s"
"Monthly payment: %s","Monatliche Rate: %s"
"Fee amount: %s","Finanzierungskosten: %s"
"Total cost: %s","Gesamtbetrag: %s"
"Fee","Finanzierungskosten"
"PayPal Instalments Settings","PayPal Ratenkauf Einstellungen"
"In order to use PayPal Instalments you have to be vetted by PayPal. Please contact PayPal directly.","Achtung! Damit PayPal Ratenkauf von Ihnen genutzt werden kann, muß es zunächst von PayPal freigeschaltet werden. Bitte kontaktieren Sie PayPal direkt."
"<a href=""https://financing.paypal.com/ppfinportal/registration/"" target=""_blank"">Recieve</a> your publisher ID","<a href=""https://financing.paypal.com/ppfinportal/registration/"" target=""_blank"">Hierüber</a> erhalten Sie Ihre Publisher ID"
"Show upstream banner on product page","Zeige Upstream Banner auf der Produktseite"
"Show upstream banner on cart","Zeige Upstream Banner im Warenkorb"
"Show upstream banner on payment method","Zeige Upstream Banner im Checkout"
"Lender","Darlehensgeber"
"Lender, Lender address","Darlehensgeber, Anschrift Darlehensgeber"
"Finanzierung ab %s€ im Monat möglich","Finanzierung ab %s€ im Monat möglich"
"Informationen zu möglichen Raten","Informationen zu möglichen Raten"
"Finanzierung ab %s€ in %s monatlichen Raten mit Ratenzahlung Powered by PayPal", "Finanzierung ab %s€ in %s monatlichen Raten mit Ratenzahlung Powered by PayPal"
"Finanzierung verfügbar ab 99€ bis 5.000€ Warenkorbwert","Finanzierung verfügbar ab 99€ bis 5.000€ Warenkorbwert"
"Finanzierung ab %s€ im Monat möglich","Finanzierung ab %s€ im Monat möglich"
"Informationen zu möglichen Raten","Informationen zu möglichen Raten"
"Repräsentatives Beispiel gem. § 6a PAngV:","Repräsentatives Beispiel gem. § 6a PAngV:"
"Nettodarlehensbetrag: %s€","Nettodarlehensbetrag: %s€"
"Nettodarlehensbetrag:","Nettodarlehensbetrag:"
"Fester Sollzinssatz %s%%, effekt. Jahreszins %s%%, zu zahlender Gesamtbetrag %s€, %s monatliche Raten in Höhe von %s€","Fester Sollzinssatz %s%%, effektiver. Jahreszins %s%%, zu zahlender Gesamtbetrag %s€, %s monatliche Raten in Höhe von %s€"
"Darlehensgeber: %s","Darlehensgeber: %s"
"Sie können diesen %s auch finanzieren!","Sie können diesen %s auch finanzieren!"
"Zahlen Sie bequem und einfach in monatlichen Raten","Zahlen Sie bequem und einfach in monatlichen Raten"
"Ihre Ratenzahlung und den passenden Finanzierungsplan können Sie im Rahmen des Bestellprozesses auswählen.","Ihre Ratenzahlung und den passenden Finanzierungsplan können Sie im Rahmen des Bestellprozesses auswählen."
"Plan %s","Plan %s"
"<strong>%s€</strong> pro Monat (%s Raten)","<strong>%s€</strong> pro Monat (%s Raten)"
"fester Sollzinssatz:","fester Sollzinssatz:"
"effekt. Jahreszins:","effektiver Jahreszins:"
"zu zahlender Gesamtbetrag:","zu zahlender Gesamtbetrag:"
"monatliche Raten in Höhe von:","monatliche Raten in Höhe von:"
"Zinsen:","Zinsbetrag:"
"Gesamtbetrag:","Gesamtbetrag:"
"* Zugleich repräsentatives Beispiel gem. § 6a PAngV","* Zugleich repräsentatives Beispiel gem. § 6a PAngV"
"Zahlen Sie bei uns bequem und einfach mit","Zahlen Sie bei uns bequem und einfach mit"
"Ihr Antrag erfolgt komplett online und wird in wenigen Schritten hier im Shop abgeschlossen.","Ihr Antrag erfolgt komplett online und wird in wenigen Schritten hier im Shop abgeschlossen."
"Show generic upstream promotion on home page","Zeige generische Upstream Bewerbung auf Startseite"
"Show generic upstream promotion on category pages","Zeige generische Upstream Bewerbung auf Kategorie-Seiten"
"Show specific upstream promotion on product page","Zeige spezifische Upstream Bewerbung auf Produkt-Seite"
"Show specific upstream promotion on cart","Zeige spezifische Upstream Bewerbung im Einkaufswagen"
"Show specific upstream promotion on payment method","Zeige spezifische Upstream Bewerbung bei der Zahlungsart"
"Show specific upstream promotions with calculated values","Zeige spezifische Upstream Bewerbungen mit berechneten Werten"
"Grand Total (incl. Fee)","Gesamtsumme (inklusive Finanzierungskosten)"
